Date,Parsha,Candles,Havdalah
2026-01-02,ויחי,16:11,17:27
2026-01-09,שמות,16:17,17:33
2026-01-16,וארא,16:23,17:38
2026-01-23,בא,16:29,17:44
2026-01-30,בשלח,16:35,17:50
2026-02-06,יתרו,16:42,17:56
2026-02-13,משפטים,16:48,18:02
2026-02-20,תרומה,16:54,18:07
2026-02-27,תצוה,16:59,18:12
2026-03-06,כי תשא,17:04,18:18
2026-03-13,ויקהל־פקודי,17:09,18:22
2026-03-20,ויקרא,17:14,18:27
2026-03-27,צו,18:19,19:32
2026-04-01,פסח,18:22,19:36
2026-04-03,פסח,18:24,19:37
2026-04-07,פסח,18:26,19:40
2026-04-10,שמיני,18:28,19:42
2026-04-17,תזריע־מצרע,18:33,19:48
2026-04-24,אחרי מות־קדשים,18:38,19:53
2026-05-01,אמור,18:43,19:59
2026-05-08,בהר־בחקתי,18:48,20:04
2026-05-15,במדבר,18:53,20:10
2026-05-21,שבועות,18:57,
2026-05-22,נשא,18:58,20:15
2026-05-29,בהעלתך,19:02,20:20
2026-06-05,שלח־לך,19:06,20:24
2026-06-12,קורח,19:09,20:28
2026-06-19,חוקת,19:12,20:30
2026-06-26,בלק,19:13,20:31
2026-07-03,פינחס,19:13,20:30
2026-07-10,מטות־מסעי,19:12,20:29
2026-07-17,דברים,19:09,20:26
2026-07-24,ואתחנן,19:06,20:21
2026-07-31,עקב,19:01,20:15
2026-08-07,ראה,18:55,20:09
2026-08-14,שופטים,18:48,20:01
2026-08-21,כי־תצא,18:40,19:53
2026-08-28,כי־תבוא,18:32,19:44
2026-09-04,נצבים־וילך,18:23,19:35
2026-09-11,ראש השנה,18:14,
2026-09-12,ראש השנה,19:26,19:24
2026-09-18,האזינו,18:05,19:16
2026-09-20,יום כיפור,18:02,19:14
2026-09-25,סוכות,17:56,19:07
2026-10-02,שמיני עצרת,17:47,18:58
2026-10-09,בראשית,17:38,18:49
2026-10-16,נח,17:30,18:41
2026-10-23,לך־לך,17:22,18:34
2026-10-30,וירא,16:15,17:28
2026-11-06,חיי שרה,16:10,17:23
2026-11-13,תולדות,16:05,17:18
2026-11-20,ויצא,16:02,17:16
2026-11-27,וישלח,16:00,17:14
2026-12-04,וישב,15:59,17:14
2026-12-11,מקץ,16:00,17:16
2026-12-18,ויגש,16:02,17:18
2026-12-25,ויחי,16:06,17:22
